provider,eth
​0x206D06A7D4b2029A2531C31454AFB2543123Df78,453918.03
​0x0Ea8d6234df17f40C5Caa5A8023c39C3b1C85610,192703.50
​0x15f0a2ED2133D874Ddd0AB4A1c5ab97Ff6e00374,176516.85
​0x1CfB5D4bd50E21085852eb4B575e24ad47DC0f8A,159685.85
​0x3eb3829f0C40a599Da990253392c6a801eDCB0B9,148643.26
​0x79dca5229B6883861d37431B2E16F964158a86c4,48582.50
​0xe82aa659D913E70A475346Ad6786cd78ba38253f,35558.98
​0x4918AE72E06477D4D8d4CdA1174d3F8Ea50ED2D7,33360.12
​0x73cf2c29D81671774F455203009b03479DfbA225,33048.93
​0x56C9EB634da871f7D68fEf65016616605230F79a,28716.47
​0xdFEf167cBAaE1507D723E41501fd3855cbcA2c99,26188.34
​0xC3a4f918Bf01bB8F1907EC0408B733fF749D7cFA,25969.33
​0xb00493ef3d9c2F59701708112a1fcc61982B1B92,19547.70
​0x42eD0021054A8ff51E0CA0E9e7F8B2A6bC64F4eb,17595.67
​0xb4A7F1cb0a3C404FCc988c97D5132af7E71F91A6,17418.01
​0x5B9DE50119aa37c1F4D496a0A377B15DFD8195cc,16678.43
​0xC181Ec798B46e8885ee5a5810125A4Fde16b8FFc,16441.54
​0xCe1081f0FfB9960Fe68b03F38FD3b38F9022e86f,16279.44
​0x4506CFc1Fac23Bd88Ba94a5330e54B178b5ea4Cb,15170.87
Other,33271.70
