provider,eth
​0x206D06A7D4b2029A2531C31454AFB2543123Df78,435278.08
​0x0Ea8d6234df17f40C5Caa5A8023c39C3b1C85610,184790.22
​0x15f0a2ED2133D874Ddd0AB4A1c5ab97Ff6e00374,172610.74
​0x1CfB5D4bd50E21085852eb4B575e24ad47DC0f8A,153128.42
​0x3eb3829f0C40a599Da990253392c6a801eDCB0B9,142539.28
​0xd001879e876f2cB71CD1B46A48Dd203edb08661D,99494.66
​0x79dca5229B6883861d37431B2E16F964158a86c4,46587.48
​0xe82aa659D913E70A475346Ad6786cd78ba38253f,34098.76
​0x4918AE72E06477D4D8d4CdA1174d3F8Ea50ED2D7,31990.20
​0x73cf2c29D81671774F455203009b03479DfbA225,31691.79
​0x56C9EB634da871f7D68fEf65016616605230F79a,27537.24
​0xdFEf167cBAaE1507D723E41501fd3855cbcA2c99,25112.92
​0xC3a4f918Bf01bB8F1907EC0408B733fF749D7cFA,24902.91
​0xb00493ef3d9c2F59701708112a1fcc61982B1B92,23272.70
​0x42eD0021054A8ff51E0CA0E9e7F8B2A6bC64F4eb,16873.11
​0xb4A7F1cb0a3C404FCc988c97D5132af7E71F91A6,16702.74
​0x5B9DE50119aa37c1F4D496a0A377B15DFD8195cc,15993.53
​0xC181Ec798B46e8885ee5a5810125A4Fde16b8FFc,15766.38
​0xCe1081f0FfB9960Fe68b03F38FD3b38F9022e86f,15610.93
Other,46554.83
